Song Name,Movie Name,Release Year,Music Director,Poet,Singers,Actors
"Ankhon Kay Jam Hayn, Zulfon Kay Dam Hayn..",Zarina,1962,G.A. Chishti,Tanvir Naqvi,Naseem Begum,
Ankhon Mein Aansuon Ki Rawani Liye Huway..,Ik Tera Sahara,1963,Master Inayat Hussain,Qateel Shafai,Saleem Raza,
"Ankhon Mein Ankhen Daal Kay, Dekha Na Kijiye..",Gulfam,1961,Rasheed Attray,Tanvir Naqvi,Naseem Begum,
"Ankhon Mein Ashk, Dard Hay Dil Mein Basa Hua..",Commander,1968,Master Abdullah,Saleem Kashar,Masood Rana,
"Ankhon Mein Kajal, Hathon Mein Mehndi, Mehndi Mein Rang Hay..",Jaag Utha Insan,1966,Lal Mohammad Iqbal,Dukhi Premnagri,Ishrat Jahan,
"Ankhon Say Ankhen Mila, Ishq Ki Chot Khay Kay..",Ham Ek Hayn,1961,?,Fyaz Hashmi,Kousar Parveen & Co.,
"Ankhon Say Lagi Ashkon Ki Jhari, Ya Shah-e-Arab (saw), Mushkil Hay Bari..",Alf Leila,1968,Tasadduq Hussain,Mushir Kazmi,Mala,
"Ankhon Say Mili Ankhen, Dil Dil Say Jo Takraya, Wallah..",1000 Dastan,1000,Rasheed Attray,Fyaz Hashmi,Mehdi Hassan,
Ankhon Say Piyo Gay Ya Peimana Chahiye..,Shadi,1964,Nazir Sheeley,Saleem Nagar,Madhu Almas,
Antar Na Toray Balay Ham Jamaima..,Nateeja,1963,A. Hameed,Mushir Kazmi,Irene Parveen & Co.,
Apnay Daaman Ko Ham Ashkon Say Bhago Letay Hayn..,Ghazala,1963,Rehman Verma,Mushir Kazmi,Ishrat Jahan,
Apnay Dil Ki Dunya Basa Kay.. Sakhion Ka Dil Tor Chali..,Shehnai,1968,Sohail Rana,Masroor Anwar,Mala & Co.,
"Apnay Ho Geye Hayn Paraye, Jo Kal Tak Thay Apnay..",Paisay,1964,Robin Ghosh,Fyaz Hashmi,Irene Parveen,
"Apnay Paraye Chhor Chalay Ham, Sakhion Say Monh Mor Chalay..",Diya Aur Toofan,1969,Kemal Ahmad,Fyaz Hashmi,Runa Laila & Co.,
"Apnay Parcham Talay, Har Sipahi Chalay..",Ik Tera Sahara,1963,Master Inayat Hussain,Himayat Ali Shair,Irene Parveen & Co.,
Apnay Pehlu Mein Meray Dil Ko Machal Janay Do..,Tum Milay Pyar Mila,1969,Nashad,Taslim Fazli,Noorjahan,
"Apnay Sath Liye Jatay Ho Ik Bhari Ka Pyar, Lori Day Jana Ik Bar..",Main Zinda Hun,1968,Hassan Latif,Riaz Shahed,Mala,
"Apnay Waadon Ko Bhula Do, Kahin Aisa To Nahin..",Faishon,1965,Bakhshi Wazir,Qateel Shafai,Ahmad Rushdi,
Apni Bikhri Hoi Zulfon Kay Ghanay Saye Mein..,Naaz,1969,Nisar Bazmi,Qateel Shafai,Mujeeb Alam,
"Apni Ho Geyi Shadi, Mili Phoolon Ki Shehzadi..",Watan Ka Sipahi,1966,Manzoor Ashraf,Mushir Kazmi,Ahmad Rushdi,
Apni Jan Day Kay Jo Ban Geye Doosron Ki Zindagi..,Zindagi,1968,Master Abdullah,Saleem Kashar,Mehdi Hassan,
"Apno Nay Woh Ranj Diye Hayn, Beganay Yaad Aa Geye Hayn..",Misaal,1966,Azam Baig,Habib Jalib,Saleem Raza,
"Apno Say Shikayet Hay, Na Apno Say Gila Hay..",Zamin Ka Chand,1961,Tasadduq Hussain,I.K. Durrani,Nazir Begum,
"Arj To Sun Mori, Binti Karun Main Tori, Bahniya Pharrun Tori..",Divana,1964,Muslehuddin,Fyaz Hashmi,Naseem Begum,
Armaan Har Ek Dil Mein Neyi Zindagi Kay Hayn ..,Al-Hilal,1966,Rasheed Attray,Qateel Shafai,Naseem Begum,
"Armaan HaynYeh Dil Kay, Bichhren Na Kabhi Mil Keh..",Baap ka Baap,1964,Tasadduq Hussain,?,Irene Parveen,
"Armaan Lutay, Dil Ki Murjhai Kali Khil Kay..",Chori Chhuppay,1965,Hasnain,?,Shabana Majeed,
"Arman To Buhat Hayn Dil Mein, Par Arz Kaisay Ho..",Jang-e-Azadi,1968,M. Ilyas,Tanvir Naqvi,Noorjahan,
"Armano Kay Saaz Peh Nachun, Dharkan Ki Awaz Peh Nachun..",Khyber Mail,1960,G.A. Chishti,Masoom Ludhyanvi,Naheed Niazi,
"Array Array, Meray Dil Ko Janay Kya Ho Geya..",Tamasha,1965,Azam Baig,Aftab Ali Khan,Saleem Raza,
"Array Heye Ray, Paray Dil Peh Dhamak, Jab Lachkay Badan..",Vah Bei Vah,1964,Master Abdullah,Tanvir Naqvi,Irene Parveen,
"Array Kaisa Julmi Hay Dekho Zamana, Koi Chher Karay..",Shaam Savera,1967,Master Ashiq Hussain,Mushir Kazmi,Irene Parveen,
"Array Main Hun Table Wala, Kaam Hay Mera Khidmat Karna..",Ustadon Ka Ustad,1967,Maqsood Ahmad,Aajiz Faridi,Muzaffar,
"Array O BeMurawat, Array O BeWafa, Bata Day, Kya Yahi Hay..",Savaal,1966,Rasheed Attray,Fyaz Hashmi,Noorjahan,
"Array O Haseena, Kafir Haseena, Saj Kay Chali..",Insan Badalta Hay,1961,Zafar Khursheed,Izhar Malihabadi,Ahmad Rushdi,
"Array O, Samnay Aa Kar Nigahein To Mila Ham Say..",Qatal Kay Baad,1963,Deebo,?,Irene Parveen,
Array Suno Ray Nagar Kay Logo.. Keh Gori Abhi Janay Na..,Shikva,1963,Deebo,Munir Niazi,Irene Parveen,
"Array Zalim, Array Dil Lainay Waly, Mujhay Tu Aazma Lay..",Aanch,1969,Khalil Ahmad,Qateel Shafai,Naseem Begum,
"Array, Array, Kya Karti Ho, A Bye A Bye..",C.I.D.,1969,Bakhshi Wazir,Muzaffar Warsi,Batish,
"Array, Dehati Gentleman, Teray Kya Phoot Geye Hayn Nain..",Bombay Vala,1961,Rehman Verma,Mushir Kazmi,Robina Yasmin,
"Array, Mujh Say Tumhen Roothnay Ka Ikhtiar Hay..",Maa Beta,1969,Master Inayat Hussain,Masroor Anwar,Ahmad Rushdi,
"Array, Pee Kay Botal May Ki, Dunya Sari Behki ..",Khamosh Raho,1964,Khalil Ahmad,Himayat Ali Shair,Najma Niazi,
"Arri O Laila Ki Khala, Mera Nikal Geya Deevala..",Nadira,1967,Kemal Ahmad,Mushir Kazmi,Masood Rana,
"Arz Hay Yeh Gila Nahin, Samjha Hay Jitna Aap Nay..",Sanam,1965,A. Hameed,Fyaz Hashmi,Munir Hussain,
"Ashkon Kay Diye, Sadqay Tujh Peh A Chand..",Chhoti Behan,1964,Lal Mohammad Iqbal,Sehba Akhtar,Nighat Seema,
"Asslam-o-Elaikum, Janab-e-Aali, Wa-Elaikum-Asslam, Huzoor-e-Wala..",Shadi,1964,Nazir Sheeley,Saleem Nagar,Nighat Seema,
"Awaz Do, Awaz Do, Insaf Ko Awaz Do..",Aurat Aur Zamana,1968,Ghulam Nabi,Tanvir Naqvi,Runa Laila,
"Awaz Jab Bhi Den Ham, Pehchan Jayie Ga..",Mahal,1968,Rasheed Attray,Fyaz Hashmi,Mehdi Hassan,
"Aya Hay Koi, Ankhon Mein Liye Afsanay Pyar Kay..",Aakhri Station,1965,Khan Ataur Rahman,Suroor Barabankvi,Firdousi Begum,
"Aya Khushion Ka Rangeen Zamana, Zindagi Ban Geyi Ik Tarana..",Taj Mahal,1968,Nisar Bazmi,Kaleem Usmani,Ahmad Rushdi,
"Aya Mangol Aya, Isabgol, Kuch Na Phol, Sab Kuchh Gol..",Saltanat,1960,G.A. Chishti,Ahmad Rahi,Batish,
"Aye Dilruba, Tujh Par Fida Sub Kuchh Mera..",Paristan,1968,Rasheed Attray,Tanvir Naqvi,Mala,
"Aye Ga Sajjan, Jab Aye Ga, Chhup Chhup Kay Khari Kya Soch Rahi Hay..",Suhag,1963,Akhtar Hussain Akhian,Sahil Farani,Mala,
"Aye Ga Sanam, Jab Nazren Milen Gi, Tab Kya Kahun Gi..",Susral,1962,Hassan Latif,Tanvir Naqvi,Naseem Begum,
"Aye Ga To Poochun Gi, Aya Hay Kyun Der Say..",Dost Dushman,1967,Rehman Verma,Tanvir Naqvi,Naseem Begum,
"Aye Gi khabar, Meray Ghar Mein Sahar, Kab Gham Ka Andhera Jaye Ga..",Teray Shehar Mein,1965,Hassan Latif,Habib Jalib,Batish & Co.,
"Aye Hayn Meray Sarkar Yahan, Chamkay Ga Dilon Ka Beupar..",Shaheed Titumir,1969,Mansoor Ahmad,Shair Siddiq,Shehnaz Begum,
"Aye Sajjan, Mori Payel Bajay, Chham Chham Chham Chhanan..",Dhoop Chhaun,1963,Ghulam Nabi,Kaleem Usmani,Naseem Begum,
"Aye, Aye, Aye, Bahar Kay Din Aye, Nikhar Kay Din Aye..",Aisa Bhi Hota Hay,1965,Nisar Bazmi,Fazal Karim Fazli,Noorjahan & Co.,
"Ayi Ayi Ho Rut Sawan Ki, Sudh Lai Pyar Kay Awan Ki..",Preet Na Janay Reet,1963,Subal Das,Suroor Barabankvi,Firdousi Begum & Co.,
"Ayi Berva Mein Soye Geyon Meray, Dorwan Say Chalay Geye..",Preet Na Janay Reet,1963,Subal Das,Suroor Barabankvi,Firdousi Begum,
"Ayi Ho Rut, Ayi Rangeeli, Jaisay Dulhan Ho Nit Naveli..",Sagar,1965,Khan Ataur Rahman,Suroor Barabankvi,Irene Parveen,
"Ayi Ho, Ayi Sawan Rut Ayi, Kajil Jaisi Kali Badli..",Parosi,1968,Wazir Afzal,Zahoor Nazar,Noorjahan & Co.,
Ayi Jo Un Ki Yaad To Aati Chali Geyi..,Charagh Jalta Raha,1962,Nihal Abdullah,Jigar Muradabadi,M. Kaleem,
"Ayi Milan Ki Raat Ri, Chali Piya Kay Tu Sath Ray..",Hamen Bhi Jeenay Do,1963,C. Faiz,Asadi,Irene Parveen,
"Ayi Ray, Ayi Ray, Kaisi Rut..",Nadir Khan,1968,Tasadduq Hussain,Atish Ludhyanvi,Nazir Begum,
"Ayi Ray, Millan Rutt Ayi, Aa Jao Ray, Bajnay Lagi Hay Shehnai..",Darvaza,1962,Saleem Iqbal,Saifuddin Saif,Naseem Begum,
"Ayi Shaam, Piya Nahin Aye Ray, Dil Gham Mein Dooba Jaye..",14 Saal,1968,Mohammad Ali Munnu,Shorsh Dehlvi,Irene Parveen,
"Ayi Yeh Kaisi Umariya, Bajay Mann Mein Jagariya..",Parosi,1968,Wazir Afzal,Zahoor Nazar,Noorjahan,
"Ayo Aaj, Chalo Ri Sakhi, Aaj Mangal Manayen..",Mala,1965,Khan Ataur Rahman,Suroor Barabankvi,Irene Parveen,
Azadi Ki Roshani Lo..,Zarqa,1969,?,?,Munir Hussain,
"Baat Banti Nahin Bananay Say, Yaad Aatay Hayn..",Shehzadi,1960,Tasadduq Hussain,Nusrat Mansoori,?,
"Baat Chhoti Si Hay, Mano Ya Na Mano, Ham Hayn Tumharay..",Raat Kay Rahi,1960,A. Hameed,Fyaz Hashmi,Ahmad Rushdi,
"Baat Ek Raat Ki, Raat, Barsat Ki..",Dr. Sheitan,1969,Rabbani,Shujaa Aqeel,Nasrin Jeelani,
Baat Karni Mujhay Mushkil Kabhi Aisi To Na Thi..,Sharik-e-Hayyat,1968,A. Hameed,Bahadur Shah Zafar,Mehdi Hassan,
"Babu, Budha Ban Kar Aye.. Budha Phir Bhi Achha Lagay..",Shehnai,1968,Sohail Rana,Masroor Anwar,Runa Laila,
"Babul Ray Babul, Mayya Ri Mayya, Doli Mein Kar Day Sawar..",Jang-e-Azadi,1968,M. Ilyas,Tanvir Naqvi,Mala & Co.,
"Bach Kay Zara, Bach Kay Rehna, Meri Mast Nazar Kay Teer Say..",Bulbul-e-Baghdad,1962,Mohammad Ali Munnu,Tufail Hoshiarpuri,Irene Parveen,
"Bach Na Sako Gay Meri Jan, Banki Adaon Kay War Say..",Aadil,1966,Nisar Bazmi,Mushir Kazmi,Mala,
"Bacha Lay Aabroo Meri, Sitam Dhanay Laga Hay Syad..",Ayaz,1960,Khawaja Khursheed Anwar,Qateel Shafai,Zubaida Khanum,
"Bacha Lo, Bacha Lo, Apnay Dil, Dil Walo, Khel Hay Dil Churanay Ka..",Andhi Mohabbat,1964,Manzoor Ashraf,Mushir Kazmi,Mala,
"Bachna Jee, Zara Hat Kay, Zara Bach Kay, O Babu Jee..",Tamasha,1965,Azam Baig,Fyaz Hashmi,Naheed Niazi,
"Bachpan Beeta Ayi Jawani, Bolo Jee, Iqrar Karo..",Surayya,1961,Akhtar Hussain Akhian,Shabab Keranvi,Irene Parveen,
"Bachpan Ka Hay Apna Pyar, Yun Gayen Gay Ham..",Naghma-e-Sehra,1966,Safdar Hussain,Qateel Shafai,Nazir Begum,
Bachpan Ki Tarah Sath Nibhaye Ki Jawani..,Pak Daaman,1969,Master Inayat Hussain,Qateel Shafai,Ahmad Rushdi,
Badalti Rahen Kahan Lay Jayen..,Veer Pyara,1969,Tufail Niazi,Sultan Mehmood Ashufta,?,
"Badlon Mein Chandni Hans Rahi Hay, Thandi Thandi Aag Dil Mein..",Ek Manzil 2 Rahen,1962,Rasheed Attray,Qateel Shafai,Naseem Begum,
"Badlon Mein Chhup Raha Hay Chand Kyun, Apni Hi Kis Ada Say..",Ik Tera Sahara,1963,Master Inayat Hussain,Qateel Shafai,Saleem Raza,
Badnam Kar Diya Hay Wafa Nay Kahan Kahan..,Shake Hand,1962,Bakhshi Wazir,Tajammul Hussain,Saleem Raza & Co.,
Badsha-e-Ishq Hayn Ham Aur Husn Kay Sail Hayn Ham..,Sangdil,1968,M. Ashraf,Khawaja Parvez,Masood Rana,
"Bagh Ujar Geya Mera, Ayi Khazan Bahar Mein..",Chhoti Ammi,1964,Tasadduq Hussain,Mushir Kazmi,Naseem Begum,
Bagwa Ko Chal Ray (Competition In Classical Music)..,Mousiqar,1962,Rasheed Attray,Tanvir Naqvi,Naseem Begum,
"Bahar Ki Rut Ayi, Ayi Ray Ayi Ray, Bhar Ki Rut Ayi..",Jaisay Jantay Nahin,1969,Nisar Bazmi,Masroor Anwar,Runal Laila,
Baharon Mein Bulbul Ko Hansana Manaa Hay..,Raqqasa,1965,Master Rafiq Ali,Mushir Kazmi,Naseem Begum,
"Bahu Rani Kay Lalana Aye Ray, Aaj Allah Nay Yeh Din Dikhaye Ray..",Chhoti Behan,1964,Lal Mohammad Iqbal,Wajid Chughtai,Nighat Seema,
"Bairan Ho Geyi Dunya Sari, Jaye Kahan Dukhyari..",Manzil,1960,Feroz Nizami,Tanvir Naqvi,Noorjahan,
"Bairan Raat Sataye, O Sathi Tujh Bin..",Manzil Door Nahin,1968,Lal Mohammad Iqabl,Ejaz Kashmiri,Nighat Seema,
"Bairi Akhiyon Ki Nindia Ur Geyi, Churaya Tu Nay Dil Sajna..",Main Zinda Hun,1968,Hassan Latif,Khawaja Parvez,Mala,
"Bairi Balma Ka Dil BeIman Ho Geya, Kisi Bairan Peh Dil..",Pakeeza,1968,Saleem Iqbal,Nazim Panipati,Naseem Begum,
"Bairi, Akhian Na Kehna Mora Manay, Dekho, Qsmen Lagin Hayn..",Devdas,1965,Akhtar Hussain Akhian,Roop Baivt,Naseem Begum,
Baithay Hayn Roop Badal Kay Kaisay Kaisay Chehray..,Mehman,1969,Master Inayat Hussain,Qateel Shafai,Mala,
"Bajaa Keh Ham Thay Saza Kay Qabil, Na Thay Tumhari Ada Kay Qabil..",Begana,1966,Robin Ghosh,Saghar Siddiqi,Firdousi Begum,
"Bajai, Aaj Yeh Kisi Been, Chheen Liya Sukh Chain, Saperay..",Gulbadan,1960,Akhtar Hussain Akhian,Rehman Pyami,Zubaida Khanum,
"Bajay Jab Koi Shehnai, Kyun Ankh Bhar Aye Birha Ki..",Ek Musafir Ek Haseena,1968,Khalil Ahmad,Kaleem Usmani,Runa Laila,
"Bajay, Jhan Jhan Jhan Payel, Jagay Mori Saas, Nandya..",Gulfam,1961,Rasheed Attray,Tanvir Naqvi,Naseem Begum,
"Bajnay Lagay Woh Saaz, Jo Khamosh Thay Kabhi..",Jahan Bajay Shehnai,1968,Basheer Ahmad,Basheer Ahmad,Basheer Ahmad,
"Balam Harjai, Sajjan Harjai, Mosay Jhooti Preet Lagai..",Mahal,1968,Rasheed Attray,Fyaz Hashmi,Naseem Begum,
"Balam, Albelay Sanam, Jawani Beetay Na Akelay Akelay..",Zarina,1962,G.A. Chishti,Ahmad Rahi,Mubarak Begum,
"Balamva Bolay, Sajan Moh Say Bolay, Ghoonghat Pat Khol..",Shehanshah-e-Jahangir,1968,Kemal Ahmad,Mushir Kazmi,Naseem Begum & Co.,
"Ball Day Kay Na Yun Zulfon Ko Jhatak, Yeh Bheegay Huway..",Aadil,1966,Nisar Bazmi,Himayat Ali Shair,Ahmad Rushdi,
"Balma Anari Ho, Balma Anari, Na Janay Preet, Preet Ki Reet..",Tasvir,1966,Khalil Ahmad,Himayat Ali Shair,Balqees Khanum,
"Balma Na Sata, Ab To Maan Ja, Hey, Tu Nay..",Sham Dhalay,1960,Rasheed Attray,Tanvir Naqvi,Naseem Begum,
"Balma Ray, Mori Baat Maan Lay, Main Teray Haath Na Aun Gi..",Teer Andaz,1963,Safdar Hussain,Qateel Shafai,Iqbal Bano,
"Balma, Aya Moray Dawaray, Jhalak Dikhla O Balma..",Aag Ka Darya,1966,Ghulam Nabi,Josh Malihabadi,Mala,
"Balma, Ja Ray Ja, Neend Chura Kay Loot Liya..",Josh,1966,Muslehuddin,Fyaz Hashmi,Naheed Niazi,
"Balma, Jiya Aahen Veeran, Zamana Mera Dard Na Janay..",12 Bajay,1961,Lal Mohammad Iqbal,Yazdani Jalandhry,Nishi Kumari (Indian singer),
"Bam Chhak, Bam Chhak Tana, Main Rahi Hun Anjana..",Fantoosh,1967,A. Rasheed,Hamdam Jamal,A. Rasheed,
"Ban Geye Dard To Dawa Kyun Ho, Tum Meray Ho To Doosra Kyun Ho..",Inqilab,1962,N.K. Rathoor,?,Masood Rana,
"Ban Kay Hawa, Kali Ghata, Urti Phirun Main..",Ek Thi Maa,1960,Rehman Verma,Atish Ludhyanvi,Zubaida Khanum,
"Ban Kay Mera Parwana, Aye Ga Akbar Khana.. Pa Khair Raghlay..",Farangi,1964,Rasheed Attray,Qateel Shafai,Mala,
"Bana Kay Mera Nasheman, Jala Diya Tu Nay..",2 Rastay,1961,Master Inayat Hussain,Habib Jalib,Saleem Raza,
Band Honton Say Jo Ik Baat Kahi Thi Main Nay..,Dil-e-Betab,1969,Master Inayat Hussain,Qateel Shafai,Noorjahan,
"Band Kijiye Kitaben, Khuda Kay Liye, Reham Kijiye..",Bahana,1965,Khan Ataur Rahman,Suroor Barabankvi,Irene Parveen,
"Band Na Kar Abhi Nain Dawaray, Chand Kahay Tujhay Kar Kay Isharay..",Geet Kahin Sangeet Kahin,1969,Master Tufail,Tanvir Naqvi,Mujeeb Alam,
"Banhon Ka Haar Lay Kay, Dil Ka Qarar Lay Kay..",Jungli Phool,1968,Karim Shahabuddin,Akhtar Lakhnavi,Najma Niazi,
"Banhon Mein Aa Kay Heye, Sapnay Saja Kay..",Parvana,1966,Ali Sahili,Akhtar Yousuf,Ahmad Rushdi,
"Bankay Sanwaria Nay Jadu Dala, Chhin Geya Ray Mera Matwala..",Insaf,1960,Nathu Khan,Baqar Rizvi,Nazir Begum,
"Bankay Sipahi Meray, Sadqay Main Jaun Teray..",Watan Ka Sipahi,1966,Manzoor Ashraf,Mushir Kazmi,Naseem Begum,
"Bansi Bajai Tu Nay, Nindia Urai Tu Nay, Teri Qasm Sanwaray..",Katari,1968,M. Ashraf,Tanvir Naqvi,Noorjahan,
"Bansi Bajaye Koi, Nadia Kay Par Ray, Holay Holay Jhoomay..",Jaag Utha Insan,1966,Lal Mohammad Iqbal,Dukhi Premnagri,Mala,
"Bara Dukh Paya, Main Nay Bara Dukh Paya..",Gulfarosh,1961,Safdar Hussain,Zahoor Raja,Naseem Begum,
"Bara Sangdil Zamana, Kisi Say Dil Na Lagana..",Paharan,1962,M. Javed,Maya Devi,Naheed Niazi,
Bara Sukh Chain Meray Chhotey Say Gaun Mein..,Pardah,1966,Safdar Hussain,Fyaz Hashmi,Irene Parveen,
"Baray Mian To Baray Mian, Chhotay Mian, Subhan Allah..",Maa Beta,1969,Master Inayat Hussain,Masroor Anwar,Mala,
"Baray Sangdil Ho, Baray Na-Samajh Ho, Tumhen Pyar Karna..",Aashiana,1964,A. Hameed,Fyaz Hashmi,Ahmad Rushdi,
"Bari Door Thay Woh, Bari Door Thay Ham, Lo Khatam Yeh Fasla Ho Geya..",Azad,1964,Muslehuddin,Fyaz Hashmi,Musleuddin,
"Bari Haseen Hay Zindagi, Khushi Say Gar Sanwariye..",Qanoon,1963,Khalil Ahmad,Tanvir Naqvi,Naheed Niazi,
"Bari Haseen Hay Zindagi, Qareeb Aa Kay Dekhiye..",Maa Ka Pyar,1964,Rafiq Ali,Rasheed Sajid,Nazir Begum,
"Bari Inayat Keh Aap Aye, Chamak Utha Hay Gharibkhana..",Khandan,1964,Rehman Verma,Habib Jalib,Naseem Begum,
"Bari Meharbani, Bari Hi Inayat, Agar Tun Na Aatay To Hoti Shikayet..",Rishta Hay Pyar Ka,1967,Nashad,Fyaz Hashmi,Masood Rana,
Bari Mushkil Say Hua Tera Mera Sath Piya..,Lakhon Mein Ek,1967,Nisar Bazmi,Tanvir Naqvi,Noorjahan,
Bari Mushkil Say Nigahen Uthi Hayn..,Dulhan,1963,Rasheed Attray,Fyaz Hashmi,Noorjahan,
"Barray BeMurawwat Hayn, Yeh Husn Walay, Kahin Dil Laganay Ki
..",Badnam,1966,Deebo,Masroor Anwar,Surayya Multanikar,
"Bars, A Abr-e-Karm, Josh Mein Aa, Josh Mein Aa..",Zamin Ka Chand,1961,Tasadduq Hussain,I.K. Durrani,Munir Hussain & Co.,
"Barsan Lagay, Ab To Naino Say Taray, Ho..",Kajal,1965,Subal Das,M.D. Ahsan,Firdousi Begum,
"Barson Ki Yeh Judai Kaisay, Abhi Abhi Ki Baat Hay..",Beti,1964,Deebo,Fyaz Hashmi,Noorjahan,
Bas Eik Jhalak Dhikla Kay Hamen Woh Chand Nazar Say Door Hua..,Jan-e-Arzoo,1968,Master Inayat Hussain,Qateel Shafai,Saleem Raza,
Bas Ham To Ho Geye Hayn Khadam Janab Kay..,Teer Andaz,1963,G.A. Chishti,Wali Sahib,Ahmad Rushdi,
"Bas Itna Karam Kar, Hamen Insan Bana Day..",Ham Ek Hayn,1961,?,Fyaz Hashmi,Saleem Raza,
"Basant Rut Ayi, Aa Ja, Jiya Na Lagay Mora..",2 Bhai,1968,Wazir Afzal,Sorash Dehlvi,Noorjahan,
"Bata, Tu Kis Jahan Mein Abad Hay, Meray Dil Mein Ab Tak Teri Yaad Hay..",Saltanat,1960,G.A. Chishti,Qateel Shafai,Zubaida Khanum,
"Baten Falik Ki, Qissay Zamin Kay, Jhootay Kahin Kay..",Meray Laal,1967,Lal Mohammad Iqbal,Sehba Akhtar,Nighat Seema,
"BatHa Kay Janay Walo, Aqaye 2 Jahan (saw) Say, Mera Salam Kehna..",Mera Salaam,1966,Mohammad Ali Munnu,Muzaffar Warsi,Batish,
"Bawri Main Bawri, Tu Chanda Teray Pyar Mein Lut Geyi..",Ek Musafir Ek Haseena,1968,Khalil Ahmad,Kaleem Usmani,Runa Laila,
"Be-Dardi, Dil Mein Teray Pyar Nahin..",Navab Siraj-ud-Daulah,1967,Khan Ataur Rahman,Suroor Barabankvi,Shehnaz Begum,
"Be-Kason Ko Tu, Ya-Rabb, Be-Khata Na Maray Ga..",Adalat,1968,Tasadduq Hussain,Muzaffar Warsi,Noorjahan,
"Be-Qarar Kar Kay Hamen Chal Diye, Hazoor..",Meri Dosti Mera Pyar,1968,Tasadduq Hussain,Riazur Rehman Saghar,Ahmad Rushdi,
"Be-Saharon Kay Saharay, Ya Mohammad (Saw) Aap Hayn..",1000 Dastan,1000,Rasheed Attray,Fyaz Hashmi,Naseem Begum,
BeChain Kar Geyi Hay Kisi Ki Nazar Mujhay..,Aneela,1969,Nisar Bazmi,Masroor Anwar,Mala,
"Bechain Tanhayian, Leti Hayn Angrayian, Seenay Mein Halchal..",Ham Matvalay Nojavan,1965,Saleem Iqbal,Masroor Anwar,Naheed Niazi,
"Bechara, Kaisay Baitha Hay, Chup Chup Chup, Kuchh Janay Na..",Shikva,1963,Deebo,Masroor Anwar,Najma Niazi,
"Bedardi, Matt Jao, Sar Ko Jhukao, Akhian Bichhao..",Bandhan,1964,Robin Ghosh,Suroor Barabankvi,Anjuman Ara,
"Been Baja Jogi, Yehan Chhupa Hay Ik Naag..",Neelam,1963,Manzoor Ashraf,Mushir Kazmi,Mala,
"Been Bajanay Walay, Matwalay, Teri Been Ka Jadu Maar Gya..",Saperan,1961,Manzoor Ashraf,Shabab Keranvi,Mala,
"Beena Bajay Na Taar Bina, Jeena Mushkil Hay Pyar Bina..",Taqdeer,1966,Deebo,Fyaz Hashmi,Mala,
"Beetay Dino Ki Yaadon Ko, Kaisay Main Bhulaun..",Aag,1967,Nisar Bazmi,Masroor Anwar,Noorjahan,
"Beetay Huway Din Kyun Yaad Aye, Dil Ki Dharkan Barhti Barhti Jaye..",Jahan Bajay Shehnai,1968,Basheer Ahmad,Basheer Ahmad,Mala,
"Beetay Huway Kuch Din Aisay Hayn, Tanhai Jhinen Dohrati Hay..",Tumhi Ho Mehboob Meray,1969,M. Ashraf,Ehsan Danish,Mehdi Hassan,
Behan Ki Maang Mein Bhar Di Hay..,2 Bhai,1968,Wazir Afzal,Tajammul Hussain,Sain Akhtar,
"Behki Behki Hawa, Ja Ri Ja, Choomti Hay Kyun Aaj Anchal..",Saltanat,1960,G.A. Chishti,Ahmad Rahi,Naheed Niazi,
"Behna, Meri Pyari Hay, Bachi Hay, Raj Dulari Hay..",Bhayya,1966,Robin Ghosh,Ishrat Lakhnavi,Ahmad Rushdi,
"Behtay Aansoo, Ab To Bujha Do Dil, Jalta Hay Aag Lagay..",Bhayya,1966,Robin Ghosh,Khawaja Riaz,Naheed Niazi,
"BeiKal Raat Bitai, BeiChain Din Guzara, Kis Aas Peh Janay Ham Nay..",Eindhan,1966,Subal Das,Akhtar Yousuf,Ahmad Rushdi,
"BeIman Rasiya, Kahay Churai Mori Ankhon Ki Nindiya..",Jalva,1966,Nashad,Kaleem Usmani,Noorjahan,
"Bekasi Ki Hay Nao Bhanwar Mein, Moula Paar Lagana..",Baghawat,1963,G.A. Chishti,G.A. Chishti,Noorjahan,
BeKhudi Say Ashna Itnay Huway Jatay Hayn Ham..,Papi,1968,Jameel Khusro,A.M. Saqi,Nighat Seema,
"BeKhudi Si Tamannaon Peh Chha Geyi, Zindagi Ik Neye Mor Par Aa Geyi..",Faishon,1965,Bakhshi Wazir,Qateel Shafai,Naseem Begum,
"Betab Ho Udhar Tum, BeChain Hayn Idhar Ham..",Armaan,1966,Sohail Rana,Masroor Anwar,Ahmad Rushdi,
"Betab Nigahon Say Parda Na Karo, Mar Jayen Gay Ham, Aisa Na Karo..",Damaad,1963,Tasadduq Hussain,Fyaz Hashmi,Saleem Raza,
"Bewafa Hayn Sanam Aaj Kal Kay, Chhor Detay Hayn Do Gaam Chal Kay..",Aurat Ek Kahani,1963,Masoom Rahim,Habib Jalib,Naseem Begum,
"BeWafa Sy Dil Laga Baithay, Baray Nadan Thay..",Naheed,1968,Nashad,Taslim Fazli,Noorjahan,
"Bewafa, Yeh Bata, Tu Nay Yeh Kya Kiya, Dil Jala Kay Mera Kya Kiya..",Suhag,1963,Akhtar Hussain Akhian,Sahil Farani,Kousar Parveen,
"Bhag Na Jana Ray Kahin, Qasm Teri Nahin Chhorun Ga Kabhi..",Saaz aur Aavaz,1965,Hassan Latif,Habib Jalib,Mala,
