Song Name,Movie Name,Release Year,Music Director,Poet,Singers,Actors
"Aa Geyi Raat, Na Aaye Sanwariya, Mera Dil Roye, Jag Soye..",Neend,1959,Rasheed Attray,Qateel Shafai,Noorjahan,
"Aa Haal Dekh Lay Mera, Keh Dil Mein Pyar Basa Kar Tera..",Lakht-e-Jiggar,1956,G.A. Chishti,Hazin Qadri,Noorjahan,
"Aa Ja Ho, Ayi Jawani Ayi, Ham Aaj Chalay Hayn Dil Ka Shikar Kar Kay..",Shikar,1956,Asghar Ali,Hafeez Jalandhri,Madhu Almas,
"Aa Ja Meray Raja, Naino Ki Pyas Bujha Ja..",Miss 56,1956,G.A. Chishti,?,Munawar Sultana,
"Aa Ja Pardesi, Yaad Mein Teri, Jiya Dhol Raha Hay..",Shola,1952,Fateh Ali Khan,Taj Chodhary,Zeenat Begum,
"Aa Ja Ray Jeenay Walay, Jeenay Kay Din Hayn Baray Kam..",Jallan,1955,Mohammad Ali Munnu,Mushir Kazmi,Zubaida Khanum,
"Aa Ja Ray Piya, Hamen Tujh Say Pyar Hay..",Tarrap,1953,Asghar Ali,Mushir Kazmi,?,
"Aa Ja Ray, Tu Bhanwara Ban Kay Aa Ja..",Neyi Larki,1958,Hassan Latif,Munir Niazi,Zubaida Khanum,
"Aa Ja Ri Nindiya, Naino Ki Nagri Mein..",Sabira,1956,Safdar Hussain,Tufail Hoshiarpuri,Kousar Parveen,
"Aa Ja, Aa Ja Ho Baalma, Hey Kabhi Dal Idhar Meray Dil Peh Nazar..",Ghulam,1953,Master Ghulam Haider,Saifuddin Saif,Pukhraj Pappu,
"Aa Ja, Aa Ja, Main Dharkano Ka Saaz Hun..",Shalimar,1956,G.A. Chishti,Sahil Farani,Kousar Parveen,
"Aa Ja, Loot Lay Jee Bhar Kay Jawani..",Ghairat,1951,Talib Hussain Jafri,Muzaffar Tahir,Salma Begum,
"Aa Jao, Aa Bhi Jao, Kaisi Suhani Sham Hay, Aa Bho Jao..",Nigar,1957,Tasadduq Hussain,Naeem Hashmi,Saleem Raza,
"Aa Jee Bhar Kay Kar Lay Pyar, Nahin Eitbar..",Ghairat,1951,Talib Hussain Jafri,Muzaffar Tahir,Zeenat Begum,
Aa Khushi Say Jhoom Utha Hay Meray Dil Ka Pyar..,Darbar,1958,Rehman Verma,Atish Ludhyanvi,Zubaida Khanum,
